"","av_lambda","sum_lambda","Taxonomic_group","threat_intensity_log","threat_richness","hmn_pp_v_log","n_habitats","Protected_status","Utilised","Managed","Binomial","loc_id","Body_size_log","length"
"100",0.178231835,0.712927338,"Mammals",-0.396326497737169,1,0,1,"No",2,0,"Tamiasciurus_hudsonicus","-85.58269_49.249515",2.30356321591725,4
"101",0.44350889,1.330526669,"Mammals",-0.45980880579936,1,0.000765685345544815,2,"No",0,0,"Myodes_gapperi","-113.11667_55.05",1.2973227142053,3
"102",0.352663982,1.057991947,"Mammals",-2.07331746904673,2,0.0408681723960445,1,"No",2,2,"Glaucomys_sabrinus","-121.51_51.33",2.22010808804005,3
"103",0.304283275,0.912849824,"Mammals",-2.07331746904673,2,0.0408681723960445,1,"No",2,0,"Tamiasciurus_hudsonicus","-121.51_51.33",2.30356321591725,3
"104",0.329492535,0.988477605,"Mammals",-0.45980880579936,1,0.000765685345544815,7,"No",2,0,"Peromyscus_maniculatus","-113.11667_55.05",1.32797162362301,3
"105",0.321558575,0.964675724,"Mammals",-0.45980880579936,1,0.000765685345544815,6,"No",2,0,"Microtus_pennsylvanicus","-113.11667_55.05",1.56525734342021,3
"106",0.090491037,0.90491037,"Mammals",-1.3009493876234,1,0.0444179191464447,1,"No",2,2,"Tamiasciurus_hudsonicus","-122.35_51.86",2.30356321591725,10
"107",0.299129336,0.897388008,"Mammals",-0.581483229585228,3,0.382341252734515,1,"No",0,0,"Tamiasciurus_hudsonicus","-119.45_49.566667",2.30356321591725,3
"108",0.300912444,0.902737332,"Mammals",-0.650255729985935,6,0.70842678770886,1,"No",0,0,"Tamiasciurus_hudsonicus","-123.533333_53.866667",2.30356321591725,3
"109",0.676231879,2.028695638,"Mammals",-0.808961500141415,6,3.07570855861191,3,"Yes",0,0,"Microtus_townsendii","-123.185833_49.099444",1.81123977275329,3
"110",0.076769801,0.921237612,"Mammals",-2.82981497345452,2,0,2,"Yes",0,2,"Rangifer_tarandus","-119.660529_53.834937",4.93467001417186,12
"111",0.070438704,1.056580563,"Mammals",-2.93032862788632,1,0,2,"Yes",0,2,"Rangifer_tarandus","-114.815559_58.90627",4.93467001417186,15
"112",0.194125209,1.553001669,"Mammals",-3.17896766779657,0,0,2,"Yes",0,2,"Rangifer_tarandus","-119.572639_57.203463",4.93467001417186,8
"113",0.077524532,0.852769847,"Mammals",-2.38014862468066,0,0,2,"No",0,2,"Rangifer_tarandus","-110.497932_55.424564",4.93467001417186,11
"114",0.059973317,0.89959976,"Mammals",-0.983537847312442,3,0.0268815660725885,2,"No",0,2,"Rangifer_tarandus","-111.662483_56.324373",4.93467001417186,15
"115",0.207885378,1.247312269,"Mammals",-2.93561882022484,1,0,2,"Yes",0,2,"Rangifer_tarandus","-117.902717_52.943913",4.93467001417186,6
"116",0.099532703,1.094859732,"Mammals",-1.54958842753365,2,0,2,"No",0,2,"Rangifer_tarandus","-118.825568_54.592985",4.93467001417186,11
"117",0.065499717,0.982495759,"Mammals",-2.98852074361,0,0,2,"No",0,2,"Rangifer_tarandus","-113.936652_57.422988",4.93467001417186,15
"118",0.161775554,1.294204434,"Mammals",0.471265045779451,5,0.591181739174669,2,"No",0,2,"Rangifer_tarandus","-115.353889_55.299674",4.93467001417186,8
"119",0.063663769,0.891292762,"Mammals",-2.51769362548207,1,0,2,"No",0,2,"Rangifer_tarandus","-112.71717_56.86871",4.93467001417186,14
"120",0.016383964,0.081919819,"Mammals",-2.4595015097584,1,0,3,"Yes",0,2,"Lynx_canadensis","-116.12548_61.623636",3.97189020052915,5
"121",0.138318392,1.106547138,"Mammals",-1.45436496544036,1,0.1720310297291,6,"Yes",2,1,"Ursus_americanus","-110.07074_54.661331",4.99978001757011,8
"122",0.045144643,1.038326798,"Mammals",-0.59206361426226,0,0,12,"No",1,1,"Odocoileus_virginianus","-63.016995_49.523121",4.74435996103451,23
"123",0.071987769,0.287951078,"Mammals",-0.97295746263541,3,0.370463609485011,2,"No",2,0,"Myodes_gapperi","-120.460772_50.822181",1.2973227142053,4
"124",-0.091100921,-0.364403683,"Mammals",-0.97295746263541,3,0.370463609485011,7,"No",2,0,"Peromyscus_maniculatus","-120.460772_50.822181",1.32797162362301,4
"125",0.081485159,0.651881274,"Mammals",-1.70829419768913,0,0,3,"No",0,0,"Myotis_lucifugus","-111.158064_55.877186",0.883661435153618,8
"126",1,8,"Mammals",-1.70829419768913,0,0,2,"No",0,0,"Myotis_septentrionalis","-111.158064_55.877186",0.888740960682893,8
